Model,MAE,RMSE,MAPE
XGBoost,31923606.61695736,41376987.3489851,12.222050198804835
LSTM,31037271.23168605,41498744.33716241,11.615294600628612
ARIMA_SARIMA,37188933.5198136,44378162.774721324,14.59546631879307
